"","D1","D2","fear_mean","disgust_mean","approach_mean"
"Sp_177",0.0421299703576295,-0.510510095931478,55.1739130434783,63.304347826087,42.5652173913044
"Sp_178",-0.373520085224692,0.0413565822060792,36.8846153846154,36.9230769230769,31.5
"Sp_179",0.746022286245988,-0.382425720122486,67.8918918918919,65.972972972973,53.1081081081081
"Sp_180",0.245365024092816,0.310871906488957,69.5,74.125,53.9
"Sp_181",-0.633060276115124,-0.498666941265376,21.3720930232558,30.2558139534884,21.0697674418605
"Sp_182",0.156041029440486,0.587396332584235,64.975,72.675,50.975
"Sp_183",-0.0751823978213197,-0.582247323753572,51.2647058823529,58.7352941176471,42.2352941176471
"Sp_184",0.132299661443345,0.621399725354433,68.3970588235294,76.8235294117647,52.1911764705882
"Sp_185",-0.412486509930627,-0.306866103478535,60.9722222222222,68.1944444444444,50.7777777777778
"Sp_186",0.244468799648205,-0.601419355353449,55.0243902439024,55.1707317073171,50.0243902439024
"Sp_187",0.0064393625055684,0.965124407150082,12.7560975609756,12.2439024390244,13.3658536585366
"Sp_188",0.119575577396406,0.120953794657004,50.5405405405405,65.8918918918919,43.9189189189189
"Sp_189",-0.0891950206717523,-0.0213343704304871,61,68.5333333333333,55.9555555555556
"Sp_190",0.574263346903725,-0.538082733453288,53.3802816901408,63.4084507042254,44.8028169014084
"Sp_191",-0.793659289778105,-0.367024354926607,20.5277777777778,25.7222222222222,22.9166666666667
"Sp_192",0.0824337959219287,-0.350187886563801,63.6363636363636,78.2045454545455,44.2727272727273
"Sp_193",-0.0907931338454334,-0.76939203882826,32.8918918918919,43.9459459459459,36.4594594594595
"Sp_194",0.787015567806765,-0.157518592608064,68.8085106382979,72.4255319148936,56.2765957446809
"Sp_195",-0.0353032587501198,0.29880393549279,47.28125,52,38.3125
"Sp_196",-0.114994241252646,-0.69865669682381,45.025641025641,53.3589743589744,39.3333333333333
"Sp_197",0.684464198517304,0.282865578117958,72.15,73.375,57.2
"Sp_198",0.790775440296313,0.242438233635782,73.2558139534884,72.4651162790698,55.3953488372093
"Sp_199",0.0211447611793152,-0.738140585027567,31.7435897435897,44.2051282051282,30.7948717948718
"Sp_200",0.410712780299965,-0.522223782492637,71.4761904761905,84.6428571428571,52.7142857142857
"Sp_201",0.360176035820378,-0.676474502227322,71,68.6333333333333,52.3
"Sp_202",0.24204508408292,-0.232299286369644,56.1739130434783,65.1304347826087,45.7826086956522
"Sp_203",-0.228851862694204,-0.824919040958153,55.7234042553191,54.936170212766,54.8723404255319
"Sp_204",0.487227513305248,0.68067055655249,18.7236842105263,22.5657894736842,13.5789473684211
"Sp_205",-0.316525210062069,0.702515665355399,17.9893617021277,23.3936170212766,15.468085106383
"Sp_206",-0.322536867113514,0.389917104327277,34.7297297297297,45.4864864864865,32.8648648648649
"Sp_207",-0.200085275029497,-0.167537067020892,40.9090909090909,49.9318181818182,38.6136363636364
"Sp_208",0.402682844116174,0.543889214140136,61.4634146341463,68.0487804878049,51.2682926829268
"Sp_209",-0.0197836604068452,0.556567528119052,48.6590909090909,54.0454545454545,32.75
"Sp_210",0.612951922376334,0.565936293189464,57.5641025641026,51.1025641025641,70
