"","D1","D2","D3","D4","D5","fear_mean","disgust_mean","approach_mean"
"Sp_176",-0.129627280002678,0.0997827961814677,1.00021955537224,-0.0338832680264952,-0.192702647942561,4.39583333333333,5.5625,5.70833333333333
"Sp_177",0.0528224432717606,-0.317561988253803,-0.252800391754478,0.350794011939849,-0.209296446687059,55.1739130434783,63.304347826087,42.5652173913044
"Sp_178",-0.407232682326836,0.0358232797671953,0.126921361175451,0.0664648913240312,0.173879261477221,36.8846153846154,36.9230769230769,31.5
"Sp_179",0.583875290538604,-0.224468202330776,-0.173099141240039,-0.278074834651148,-0.258246397070051,67.8918918918919,65.972972972973,53.1081081081081
"Sp_180",0.197254508714863,0.365399967762432,0.333612095163382,0.122948494967532,0.118037183670866,69.5,74.125,53.9
"Sp_181",-0.495046586283147,-0.265286765496297,-0.0160745325363134,-0.178523145593371,-0.427748029866126,21.3720930232558,30.2558139534884,21.0697674418605
"Sp_182",0.0622578822908616,0.486367234522279,-0.481983889052677,-0.0235230775533999,0.00410059629562045,64.975,72.675,50.975
"Sp_183",-0.0306330896881481,-0.341572632341506,-0.419574229721543,0.0736005517684632,0.301001180641878,51.2647058823529,58.7352941176471,42.2352941176471
"Sp_184",0.0474334365298118,0.421961581125377,-0.454459587440655,-0.0262646951496408,0.38661230011205,68.3970588235294,76.8235294117647,52.1911764705882
"Sp_185",-0.383021308897463,-0.28583936726524,-0.111947005534129,0.0939529453035841,0.31229176078304,60.9722222222222,68.1944444444444,50.7777777777778
"Sp_186",0.156753993568977,-0.214084063160188,-0.19557623984343,-0.0570044744532267,-0.468034414396678,55.0243902439024,55.1707317073171,50.0243902439024
"Sp_187",-0.0205780813326036,0.265361190929181,0.819322859457405,0.100623345788594,0.264055145955547,12.7560975609756,12.2439024390244,13.3658536585366
"Sp_188",0.178777579593045,0.222344970213781,-0.0845401041492383,0.278120409972714,-0.352821705021631,50.5405405405405,65.8918918918919,43.9189189189189
"Sp_189",-0.0597664861006266,0.0284082186807002,-0.159792986848388,0.524002105517828,-0.284808324115858,61,68.5333333333333,55.9555555555556
"Sp_190",0.401278939357494,-0.116391032231054,0.126986288330561,-0.035183264054503,-0.54079535145238,53.3802816901408,63.4084507042254,44.8028169014084
"Sp_191",-0.567340997734802,-0.302434940622509,0.000829474219425831,-0.474671696801021,0.00550109460867878,20.5277777777778,25.7222222222222,22.9166666666667
"Sp_192",0.0708978502717759,-0.411977607125181,0.149245490677225,0.353247273056216,0.162966980994398,63.6363636363636,78.2045454545455,44.2727272727273
